[2025-12-09 09:59:44.429] [ml-detector] [info] [DUAL-SCORE] event=12180251152918_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 09:59:44.430] [ml-detector] [info] [DUAL-SCORE] event=12180251518048_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 09:59:44.432] [ml-detector] [info] [DUAL-SCORE] event=12185264817933_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 09:59:44.435] [ml-detector] [info] [DUAL-SCORE] event=12185265103874_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 09:59:52.929] [ml-detector] [info] [DUAL-SCORE] event=12189176934144_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 09:59:52.939] [ml-detector] [info] [DUAL-SCORE] event=12190278255011_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 09:59:52.942] [ml-detector] [info] [DUAL-SCORE] event=12190278533643_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 09:59:52.944] [ml-detector] [info] [DUAL-SCORE] event=12193767255847_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:00:04.479] [ml-detector] [info] [DUAL-SCORE] event=12195292286979_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:04.479] [ml-detector] [info] [DUAL-SCORE] event=12196767620326_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:00:04.480] [ml-detector] [info] [DUAL-SCORE] event=12200304484113_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:04.482] [ml-detector] [info] [DUAL-SCORE] event=12205317065867_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:17.708] [ml-detector] [info] [DUAL-SCORE] event=12210330173586_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:17.712] [ml-detector] [info] [DUAL-SCORE] event=12215343772526_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:17.714] [ml-detector] [info] [DUAL-SCORE] event=12215343893941_3365956666, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:17.715] [ml-detector] [info] [DUAL-SCORE] event=12218541923496_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:00:20.706] [ml-detector] [info] [DUAL-SCORE] event=12218547540906_254, fast=0.0000, ml=0.0633, final=0.0633, source=DETECTOR_SOURCE_ML_PRIORITY, div=0.0633
[2025-12-09 10:00:20.707] [ml-detector] [info] [DUAL-SCORE] event=12220356623904_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
[2025-12-09 10:00:20.709] [ml-detector] [info] [DUAL-SCORE] event=12220357496490_3249104179, fast=0.0000, ml=0.3975, final=0.3975, source=DETECTOR_SOURCE_DIVERGENCE, div=0.3975
